Vehicle Name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_powe_bhp,Seats
Maruti Alto Std,,1.2,2012,8,Individual,"1,20,000",First Owner,Petrol,Manual,19.7,796 CC,46.3,5
Hyundai Grand i10 Asta,7.11,5.5,2016,4,Individual,"20,000",First Owner,Petrol,Manual,18.9,1197 CC,82,5
Hyundai i20 Asta,,2.15,2010,10,Individual,"60,000",First Owner,Petrol,Manual,17,1197 CC,80,5
Maruti Alto K10 2010-2014 VXI,,2.26,2012,8,Individual,"37,000",First Owner,Petrol,Manual,20.92,998 CC,67.1,5
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,10.14,5.7,2015,5,Dealer,"30,000",First Owner,Diesel,Manual,22.77,1498 CC,98.59,5
Maruti Wagon R VXI BS IV,5.16,3.5,2013,7,Individual,"35,000",First Owner,Petrol,Manual,18.9,998 CC,67.1,5
Hyundai i10 Sportz 1.2,6.54,3.15,2013,7,Dealer,"40,000",First Owner,Petrol,Manual,20.36,1197 CC,78.9,5
Maruti Wagon R VXI,5.26,4.1,2018,2,Dealer,"17,512",First Owner,Petrol,Manual,20.51,998 CC,67.04,5
Hyundai Venue SX Plus Turbo DCT BSIV,7.7,10.5,2019,1,Individual,"20,000",First Owner,Petrol,Automatic,18.15,998 CC,118.35,5
Mahindra TUV 300 T6,,5.75,2017,3,Dealer,"70,000",First Owner,Diesel,Manual,18.49,1493 CC,100,7
Tata Indigo LX (TDI) BS-III,,3.05,2015,5,Individual,"50,000",First Owner,Diesel,Manual,19.09,1405 CC,69.01,5
Renault Captur Platine Dual Tone Diesel,,11.5,2019,1,Individual,"18,000",First Owner,Diesel,Manual,20.37,1461 CC,108.49,5
Maruti Swift VXI with ABS,6.35,5.11,2017,3,Dealer,"28,321",First Owner,Petrol,Manual,16.6,1197 CC,85,5
Nissan Micra XL CVT,,4.1,2016,4,Dealer,"27,000",First Owner,Petrol,Automatic,19.34,1198 CC,76,5
Hyundai Verna 1.6 SX,13.09,4.25,2013,7,Dealer,"65,278",First Owner,Diesel,Manual,22.32,1582 CC,126.32,5
Renault Duster 110PS Diesel RxL Explore,,7.5,2016,4,Individual,"50,000",First Owner,Diesel,Manual,19.64,1461 CC,108.45,5
Mini Cooper Cooper S,,32.5,2017,3,Dealer,"6,000",First Owner,Petrol,Automatic,14.41,1998 CC,189.08,5
Maruti Ciaz ZDi Plus SHVS,,6.5,2016,4,Dealer,"76,000",First Owner,Diesel,Manual,28.09,1248 CC,88.5,5
Maruti Swift VDI BSIV,,6.27,2016,4,Individual,"20,000",First Owner,Diesel,Manual,25.2,1248 CC,74,5
Mercedes-Benz C-Class C 220 CDI Avantgarde,51.3,14.25,2014,6,Dealer,"65,000",First Owner,Diesel,Automatic,19.27,2143 CC,170,5
Maruti Swift VDI,,4.25,2014,6,Dealer,"62,200",First Owner,Diesel,Manual,28.4,1248 CC,74,5
Toyota Innova 2.5 GX (Diesel) 8 Seater,,6.05,2013,7,Individual,"1,10,000",First Owner,Diesel,Manual,12.99,2494 CC,100.6,8
Maruti Baleno Zeta 1.2,6.81,6,2015,5,Individual,"20,000",First Owner,Petrol,Manual,21.4,1197 CC,83.1,5
Maruti Swift Dzire VXI,6.98,5.75,2016,4,Individual,"40,000",First Owner,Petrol,Manual,20.85,1197 CC,83.14,5
Fiat Grande Punto 1.3 Emotion Pack (Diesel),,2.6,2012,8,Individual,"97,000",First Owner,Diesel,Manual,17.8,1248 CC,76,5
Volkswagen Vento 1.6 Comfortline BSIV,10.12,4.25,2013,7,Dealer,"47,000",First Owner,Petrol,Manual,16.09,1598 CC,103.2,5
Maruti Alto K10 2010-2014 VXI,,2.3,2013,7,Dealer,"25,000",First Owner,Petrol,Manual,20.92,998 CC,67.1,5
Hyundai Creta 1.6 CRDi SX,10.95,12.25,2019,1,Individual,"15,000",First Owner,Diesel,Manual,19.67,1582 CC,126.2,5
Mahindra Xylo H9,,3.75,2010,10,Dealer,"56,823",First Owner,Diesel,Manual,14.02,2179 CC,118.3,8
Honda City i VTEC VX,12.36,7.5,2015,5,Individual,"50,000",First Owner,Petrol,Manual,17.4,1497 CC,117.3,5
Mahindra Bolero SLE BSIII,9.05,3.5,2011,9,Individual,"25,000",First Owner,Diesel,Manual,13.6,2523 CC,63,7
Maruti Swift Dzire VDI,,6,2015,5,Individual,"90,000",First Owner,Diesel,Manual,26.59,1248 CC,74,5
Maruti Swift Dzire LDI,,3.9,2013,7,Dealer,"45,000",First Owner,Diesel,Manual,26.59,1248 CC,74,5
Honda City 2017-2020 GXi,12.68,1.45,2007,13,Dealer,"77,253",First Owner,Petrol,Manual,17.7,1497 CC,78,5
Hyundai i20 Active 1.2 SX,,7,2018,2,Individual,"25,000",First Owner,Petrol,Manual,17.19,1197 CC,81.86,5
Toyota Fortuner 4x2 Manual,37.47,11.5,2013,7,Individual,"1,10,000",First Owner,Diesel,Manual,13,2982 CC,168.5,7
Renault KWID Climber 1.0 MT,3.81,3.4,2017,3,Individual,"30,000",First Owner,Petrol,Manual,23.01,999 CC,67,5
Honda Amaze S Petrol,7.04,4.65,2016,4,Dealer,"39,993",First Owner,Petrol,Manual,18.6,1199 CC,88.76,5
Hyundai Santro Xing GLS,,1.25,2009,11,Individual,"80,000",First Owner,Petrol,Manual,17.92,1086 CC,62.1,5
Mahindra XUV500 W8 2WD,16.59,6,2012,8,Individual,"1,85,000",First Owner,Diesel,Manual,15.1,2179 CC,140,7
Maruti Swift Dzire VDI,,3.8,2013,7,Individual,"90,000",First Owner,Diesel,Manual,23.4,1248 CC,74,5
Mahindra Xylo E8,,4,2009,11,Individual,"60,000",First Owner,Diesel,Manual,14,2498 CC,112,8
Chevrolet Sail 1.3 Base,,3,2014,6,Individual,"90,000",First Owner,Diesel,Manual,22.1,1248 CC,74,5
Hyundai Xcent 1.2 Kappa SX,,5,2015,5,Individual,"20,000",First Owner,Petrol,Manual,19.1,1197 CC,82,5
Hyundai i20 1.4 Asta Option,,8.5,2018,2,Individual,"15,000",First Owner,Diesel,Manual,22.54,1396 CC,88.73,5
Hyundai i20 1.2 Magna Executive,7.63,5.98,2018,2,Individual,"40,000",First Owner,Petrol,Manual,18.6,1197 CC,81.83,5
Honda City i VTEC CVT SV,12.68,7,2015,5,Dealer,"31,180",First Owner,Petrol,Automatic,18,1497 CC,117.3,5
Mahindra TUV 300 mHAWK100 T8 AMT,,9,2018,2,Individual,"40,000",First Owner,Diesel,Automatic,18.49,1493 CC,100,7
Maruti 800 Std,,75000,2004,16,Individual,"50,000",First Owner,Petrol,Manual,16.1,796 CC,37,4
Tata Indigo LS TDI BSIII,,3,2015,5,Individual,"58,000",First Owner,Diesel,Manual,19.09,1396 CC,69,5
Maruti Swift Dzire ZDI,,4.1,2014,6,Dealer,"56,000",First Owner,Diesel,Manual,23.4,1248 CC,74,5
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),,3,2011,9,Individual,"93,000",First Owner,Diesel,Manual,20.5,1248 CC,91.7,5
Ambassador Avigo 1800 ISZ MPFI AC,,2.25,2010,10,Dealer,"86,000",First Owner,Petrol,Manual,12.2,1817 CC,75,5
Maruti Swift VDI BSIV,,3,2011,9,Individual,"1,20,000",First Owner,Diesel,Manual,17.8,1248 CC,null ,5
Maruti Baleno Zeta Automatic,6.68,5.9,2016,4,Dealer,"52,427",First Owner,Petrol,Automatic,21.4,1197 CC,83.1,5
Mahindra Bolero B6,8.93,8.5,2020,0,Individual,"40,000",First Owner,Diesel,Manual,21,1498 CC,74.96,7
Tata Nano Cx BSIV,,1.08,2011,9,Individual,"70,000",First Owner,Petrol,Manual,26,624 CC,35,4
Mahindra KUV100 NXT G80 K8 5Str BSIV,6.88,5.5,2018,2,Individual,"17,000",First Owner,Petrol,Manual,18.15,1198 CC,82,5
Toyota Etios G,,3.25,2012,8,Dealer,"54,325",First Owner,Petrol,Manual,17.6,1496 CC,88.73,5
Maruti Baleno Vxi - BSIII,6.81,6.25,2016,4,Dealer,"22,000",First Owner,Petrol,Manual,15.4,1590 CC,94,5
Maruti Swift Dzire ZXI,6.98,6,2016,4,Individual,"54,000",First Owner,Petrol,Manual,20.85,1197 CC,83.14,5
Maruti Wagon R LXI Optional,5.11,4.45,2019,1,Individual,"10,000",First Owner,Petrol,Manual,20.51,998 CC,67.04,5
Maruti Ignis 1.2 Delta BSIV,5.77,5.3,2019,1,Individual,"20,000",First Owner,Petrol,Manual,20.89,1197 CC,81.8,5
Toyota Corolla Altis GL,,3.85,2011,9,Dealer,"61,000",First Owner,Petrol,Manual,14.53,1798 CC,138.1,5
Maruti Wagon R LXI CNG,5.97,4.1,2018,2,Trustmark Dealer,"53,237",First Owner,CNG,Manual,26.6,998 CC,58.16,5
