sl_no,vehicle_name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage
0,Hyundai Grand i10 Asta,711000,550000,2016,4,Individual,20000,First Owner,Petrol,Manual,18.9
1,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,1014000,570000,2015,5,Dealer,30000,First Owner,Diesel,Manual,22.77
2,Maruti Wagon R VXI BS IV,516000,350000,2013,7,Individual,35000,First Owner,Petrol,Manual,18.9
3,Hyundai i10 Sportz 1.2,654000,315000,2013,7,Dealer,40000,First Owner,Petrol,Manual,20.36
4,Maruti Wagon R VXI,526000,409999,2018,2,Dealer,17512,First Owner,Petrol,Manual,20.51
5,Hyundai Venue SX Plus Turbo DCT BSIV,770000,1050000,2019,1,Individual,20000,First Owner,Petrol,Automatic,18.15
6,Maruti Swift VXI with ABS,635000,511000,2017,3,Dealer,28321,First Owner,Petrol,Manual,16.6
7,Hyundai Verna 1.6 SX,1309000,425000,2013,7,Dealer,65278,First Owner,Diesel,Manual,22.32
8,Mercedes-Benz C-Class C 220 CDI Avantgarde,5130000,1425000,2014,6,Dealer,65000,First Owner,Diesel,Automatic,19.27
9,Maruti Baleno Zeta 1.2,681000,600000,2015,5,Individual,20000,First Owner,Petrol,Manual,21.4
10,Maruti Swift Dzire VXI,698000,575000,2016,4,Individual,40000,First Owner,Petrol,Manual,20.85
11,Volkswagen Vento 1.6 Comfortline BSIV,1011999,425000,2013,7,Dealer,47000,First Owner,Petrol,Manual,16.09
12,Hyundai Creta 1.6 CRDi SX,1095000,1225000,2019,1,Individual,15000,First Owner,Diesel,Manual,19.67
13,Honda City i VTEC VX,1236000,750000,2015,5,Individual,50000,First Owner,Petrol,Manual,17.4
14,Mahindra Bolero SLE BSIII,905000,350000,2011,9,Individual,25000,First Owner,Diesel,Manual,13.6
15,Honda City 2017-2020 GXi,1268000,145000,2007,13,Dealer,77253,First Owner,Petrol,Manual,17.7
16,Toyota Fortuner 4x2 Manual,3747000,1150000,2013,7,Individual,110000,First Owner,Diesel,Manual,13
17,Renault KWID Climber 1.0 MT,381000,340000,2017,3,Individual,30000,First Owner,Petrol,Manual,23.01
18,Honda Amaze S Petrol,704000,465000,2016,4,Dealer,39993,First Owner,Petrol,Manual,18.6
19,Mahindra XUV500 W8 2WD,1659000,600000,2012,8,Individual,185000,First Owner,Diesel,Manual,15.1
